id,logo_path,name,origin_country,movie_id
123270,/4KxfGr13VXMr44og11hzpdwfQDQ.png,bilibili,CN,663558
69484,/2xtmvbEse87LM7OJXVksv7DToZx.png,Alibaba Pictures Group,CN,663558
67089,/1wnxolUB5NHZARmeeZjVXKpGKaI.png,Light Chaser Animation Studios,CN,663558
12,/2ycs64eqV5rqKYHyQK0GVoKGvfX.png,New Line Cinema,US,122917
21,/usUnaYV6hQnlVAXP6r4HwrlLFPG.png,Metro-Goldwyn-Mayer,US,122917
11,/6FAuASQHybRkZUk08p9PzSs9ezM.png,WingNut Films,NZ,122917
10146,/xnFIOeq5cKw09kCWqV7foWDe4AA.png,Focus Features,US,38
10039,/b8w4LldQolMKiLZw4FQJBcXSDGI.png,Anonymous Content,US,38
10059,/3Z2MZzMW9gUyZAhHKhFIUqF1hwx.png,This is that,US,38
262577,,Action Xtreme,,1482791
262578,,Boxonia Blueprint,,1482791
47416,/1SGwPd5snC2OHk4vW8w3m6ET6jc.png,Sovereign Films,GB,1482791
25345,/pFRF57Hp5x8EKIqmWHv1t34dWVR.png,Central Motion Picture Corporation,TW,98344
4129,,ARS Film Production,TW,98344
2812,,Lion Rock Productions,US,98344
10875,,Hong Kong Asia Film Financing Forum,HK,98344
1615,/4eBmyaFkD9um04Weu6ybnLWNSVH.png,Fortissimo Films,NL,98344
4713,/pdypzFmcHh5Uvd1u4X04NRXJNlp.png,CMC Entertainment,TW,98344
10039,/b8w4LldQolMKiLZw4FQJBcXSDGI.png,Anonymous Content,US,1286185
218254,/s9paSAXtLX85OuAi1SjwM9MGxFW.png,Curious Gremlin,US,1286185
171993,/S664FbYYZWQk2SGVktzWkiYtGC.png,Cinenovo,FR,1286185
831,/vLENXiYTyITnMDrTKabUXhgTKX2.png,Saturn Films,US,1286185
146684,/kINySnvmdW2HhjHm4aHy6jwq0J3.png,Spacemaker Productions,US,1286185
107356,,BlueLight,GB,1286185
13113,/xV5tPYKZhP2Ko9dOh5A3FahuKsx.png,A-1 Pictures,JP,761898
95809,/5ac8LhghlxYKbPSwbXJkgrNfjGF.png,EGG FIRM,JP,761898
162614,/xmP3OMWSfARsUB15rlZyv6yjhsE.png,Straight Edge,JP,761898
2883,/rDYExnBV61jGQnkhVVrPN4Yl7O1.png,Aniplex,JP,761898
2073,/tWxRSaKmRJNTcmtlXsmn5R4KOSU.png,KADOKAWA,JP,761898
12502,/tlBbCuZditAuvzDdIDjjnGLJUpc.png,Bandai Namco Entertainment,JP,761898
40268,/shdAxUj8uF6exNLrF0kSqYVxCzG.png,HartBeat Productions,US,1581099
138285,/fjxX3f0XFIZYwUlpJkd4IAuNrWJ.png,Okura Pictures,JP,1490980
255472,,VOID FILMS,JP,1490980
1501,,Flora Film,IT,65588
6082,,Filmirage,IT,65588
92153,/psjvYkjjgAPtS8utnFYDM8t8yi7.png,PassionFlix,US,696374
5084,,Altavista Films,MX,55
110056,,Zeta Film,MX,55
2,/wdrCwmRnLFJhEoH8GSfymY85KHT.png,Walt Disney Pictures,US,58
130,/c9dVHPOL3cqCr2593Ahk0nEKTEM.png,Jerry Bruckheimer Films,US,58
19936,,Second Mate Productions,US,58
385,,Stanley Kubrick Productions,GB,62
21,/usUnaYV6hQnlVAXP6r4HwrlLFPG.png,Metro-Goldwyn-Mayer,US,62
10214,,Embassy International Pictures,US,68
126,/kADPanRDkKTxncPXXVahvHPUvCj.png,Lakeshore Entertainment,US,70
171,/bqLWwuNCHcY3IjB5e4o29h7l80D.png,Malpaso Productions,US,70
1171,/wp7NwsxxHT8sqPaek6SlxnXlkP4.png,Epsilon Motion Pictures,CH,70
16311,,ASR Productions,US,70
174,/ingPVoHnINIrFR7WHmYux1f5pES.png,Warner Bros. Pictures,US,70
12,/2ycs64eqV5rqKYHyQK0GVoKGvfX.png,New Line Cinema,US,73
11308,/txpvD9MPdBfC7B1Z9qn0MHfzyLV.png,Savoy Pictures,US,73
924,,The Turman-Morrissey Company,,73
6117,,Stefano Film,,90187
83588,,Serena Film '75,,90187
97,/qv3ih9pR9w2XNKZDsqDqAGuZjqc.png,Castle Rock Entertainment,US,76
11510,/gg3gP2wHNNfOfLKdXGjYC9qJ9ok.png,Detour Filmproduction,US,76
104576,/sNhEzePPkxW3AKqr3l0h7I1k0hR.png,Filmhaus Films,AT,76
28,/7tRG0ZsmtptmzPMKupd1FZkjtnn.png,Newmarket Films,US,77
491,/5LvDUt3KmvRnXQ4NrdWJYHeuA8J.png,Summit Entertainment,US,77
598,,Team Todd,US,77
34446,,I Remember Productions,,77
158,/6SHlNIype9zmyEMRsBtoueUtLsq.png,Spyglass Entertainment,US,8270
14,/m6AHu84oZQxvq7n1rsvMNJIAsMu.png,Miramax,US,8270
10146,/xnFIOeq5cKw09kCWqV7foWDe4AA.png,Focus Features,US,426063
77863,/7z6YOzvdk70YY8OaRbn5mfxrvbO.png,Studio 8,US,426063
41641,/rBlfMlCcxulmS25zTQwmXDHZmnB.png,Maiden Voyage Pictures,US,426063
239430,,Birch Hill Road Entertainment,US,426063
5798,/tmuI9BGXgpWLmokhlxpnG3IGNQB.png,Shaw Brothers,HK,78
7965,/eZ6DeFO1mhHtzxB1aACcEzKqQ7L.png,The Ladd Company,US,78
174,/ingPVoHnINIrFR7WHmYux1f5pES.png,Warner Bros. Pictures,US,78
29,/2ZGkaLO1oVR39zxtQca8iDaU7fR.png,Topcraft,JP,81
1779,/41nGzTdCnORYZIZzaGZtfsBwQCl.png,Tokuma Shoten,JP,81
13411,/5pzxTy7lWRCiruCNzwqtIYB3N43.png,Hakuhodo,JP,81
11509,/iL23YdqxvCCkGIOw7Q7ob21bDdB.png,Warner Independent Pictures,US,80
97,/qv3ih9pR9w2XNKZDsqDqAGuZjqc.png,Castle Rock Entertainment,US,80
11510,/gg3gP2wHNNfOfLKdXGjYC9qJ9ok.png,Detour Filmproduction,US,80
24575,,Faragó Film,SE,24657
2302,/rPXEdpqwFycAY9ZgrAJXv13qcWW.png,Svenska Filminstitutet,SE,24657
581,/pzJLNyKypqwAgLR4OjmaxA5WEjm.png,UGC,FR,8276
4,/jay6WcMgagAklUt7i9Euwj1pzTF.png,Paramount Pictures,US,85
1,/tlVSws0RvvtPBwViUyOFAO0vcQS.png,Lucasfilm Ltd.,US,85
4,/jay6WcMgagAklUt7i9Euwj1pzTF.png,Paramount Pictures,US,89
1,/tlVSws0RvvtPBwViUyOFAO0vcQS.png,Lucasfilm Ltd.,US,89
86971,/wIUypihbVWqsJQtQCMBjZGrO1UW.png,Aplaplac,CL,1237082
210099,/g5oRCNCi8kNVb8gEoSoIcqkhjmR.png,Amazon MGM Studios,US,1237082
17871,,Nepi Film,IT,41050
142,,Silver Films,FR,41050
17872,,Sofitedip,FR,41050
33,/8lvHyhjr8oUKOOy2dKXoALWKdp0.png,Universal Pictures,US,122906
7295,/5MYE96QiE5a5oFhXxFb4y8ILSpw.png,Relativity Media,US,122906
10163,/16KWBMmfPX0aJzDExDrPxSLj0Pg.png,Working Title Films,GB,122906
7,/vru2SssLX3FPhnKZGtYw00pVIS9.png,DreamWorks Pictures,US,14
2721,,Jinks/Cohen Company,US,14
2,/wdrCwmRnLFJhEoH8GSfymY85KHT.png,Walt Disney Pictures,US,22
130,/c9dVHPOL3cqCr2593Ahk0nEKTEM.png,Jerry Bruckheimer Films,US,22
11447,,Mercury Productions,,15
6,/n53F7K9scQWFXYbrCablqLKqJdp.png,RKO Radio Pictures,US,15
3,/1TjvGVDMYsj6JBxOAkUHpPEwLf7.png,Pixar,US,12
83894,,Otter Films,PL,589915
147778,/bcN2GlMY5Jk2fRpMNdjunHGyWDG.png,CJ 4DPLEX,KR,1433610
648,/s811As3dkcqSgl4nEWEVYfJVVxh.png,Sony Music Entertainment (Japan),JP,1433610
249869,/1GQKF1aQLqkKOrJQ11u9WM4kbbb.png,Yoyogi Animation Academy,JP,1433610
5,/71BqEFAF4V3qjjMPCpLuyJFB9A.png,Columbia Pictures,US,93
3266,,Otto Preminger Films,US,93
70,/ueaENQkPcy8rlr5fGZVBXKOhlBh.png,American Zoetrope,US,28
1948,,Cinema Features,,254049
33,/8lvHyhjr8oUKOOy2dKXoALWKdp0.png,Universal Pictures,US,98
1645,/6Ry6uNBaa0IbbSs1XYIgX5DkA9r.png,Scott Free Productions,GB,98
14440,/gk9zllyMFnaVBWTdZpm7VcfQrHC.png,Red Wagon Entertainment,US,98
21904,,Mill Film,GB,98
7,/vru2SssLX3FPhnKZGtYw00pVIS9.png,DreamWorks Pictures,US,98
1398,,Les Films Corona,FR,8290
364,,The Rank Organisation,GB,8290
1802,,Lowndes Productions Limited,,8290
198785,/oBnMrmwnlAKcACe5h7Vwmk8m1CC.png,Hidden Pictures,US,1368166
1632,/cisLn1YAUuptXVBa0xjq7ST9cH0.png,Lionsgate,US,1368166
61791,/xyiy5wZdmnxVViRa8oRMXQQvT6F.png,Feigco Entertainment,US,1368166
174,/ingPVoHnINIrFR7WHmYux1f5pES.png,Warner Bros. Pictures,US,33
171,/bqLWwuNCHcY3IjB5e4o29h7l80D.png,Malpaso Productions,US,33
49,/tlzPjqJjba2WjBaNGN1SZuJmbYj.png,El Deseo,ES,99
82,,Renn Productions,FR,99
83,/9OQ0rm55xtlgX7KcAKMUePJSrQc.png,France 2 Cinéma,FR,99
46059,,Italo/Judeo Productions,,103
46060,,Bill/Phillips,,103
5,/71BqEFAF4V3qjjMPCpLuyJFB9A.png,Columbia Pictures,US,103
9,/nda3dTUYdDrJ6rZqBpYvY865aDv.png,Gaumont,FR,101
66743,,Les Films du Dauphin,FR,101
33,/8lvHyhjr8oUKOOy2dKXoALWKdp0.png,Universal Pictures,US,105
56,/cEaxANEisCqeEoRvODv2dO1I0iI.png,Amblin Entertainment,US,105
21920,,The Steve Tisch Company,US,100
13419,,SKA Films,GB,100
20076,/ed9JyPNLqNOyJBJlDuv138sm1ES.png,Handmade Films,GB,100
25,/qZCc1lty5FzX30aOCVRBLzaVmcp.png,20th Century Fox,US,106
840,,Lawrence Gordon Productions,US,106
1885,/xlvoOZr4s1PygosrwZyolIFe5xs.png,Silver Pictures,US,106
1302,/zC3b70ixHh89qJIikLQPEvLqbPM.png,Davis Entertainment,US,106
5263,,Amercent Films,,106
5264,,American Entertainment Partners L.P.,,106
12372,/lcQScIQXHQXuLMLFQt0loJl5gWJ.png,UFA,DE,19
6274,/ngZoa368SAnERTz3IBvgTT4eWeB.png,MK2 Films,FR,110
591,/q5I5RDwMEiqoNmfaJgd2LraEOJY.png,France 3 Cinéma,FR,110
22587,,CAB Productions,CH,110
