adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
False,/17yZ1T3lNc8ud80723vFyXwI1Iy.jpg,"[18, 878]",54320,en,Love,"After losing contact with Earth, Astronaut Lee Miller becomes stranded in orbit alone aboard the International Space Station. As time passes and life support systems dwindle, Lee battles to maintain his sanity - and simply stay alive. His world is a claustrophobic and lonely existence, until he makes a strange discovery aboard the ship.",3.706,/ghKqC61MuwJIY8Wh61258fxpcRV.jpg,2011-02-02,Love,False,5.5,226
False,/7y9lSMcr3QbChUhSIiJ01WV2aPc.jpg,"[18, 10749]",292431,fr,Love,"Murphy is an American living in Paris who enters a highly sexually and emotionally charged relationship with the unstable Electra. Unaware of the seismic effect it will have on their relationship, they invite their pretty neighbor into their bed.",3.2144,/dX6Lt1CtnqI6Ai4vL2fj61CFbeD.jpg,2015-07-15,Love,False,6.45,2597
False,/50cw0A5DQNagQvEFqLHbI5kD0qS.jpg,"[18, 10749]",138289,sk,Lóve,A car thief driven by a love of cash finds his priorities shift when he falls for a college student but his conversion has dangerous consequences.,2.5491,/cbf1YVagIXPgAEdN8CWsi3qzhlz.jpg,2011-10-13,Money or Love,False,5.771,35
False,/jybjek09q5t98IWEN54m3NIdIvC.jpg,"[18, 10749]",120831,en,Love,"In Imperial Russia, Anna Karenina falls in love with the dashing military officer Count Vronsky and abandons her husband and child to become his mistress.",3.3595,/6Wdf0zB8DQeuquy5O3ldOK04Mfg.jpg,1927-11-29,Love,False,5.606,33
False,/gjkhVFRX9yJbQVZvPcDfjbegCBC.jpg,"[18, 10749]",663127,id,Love,"Love is a 2008 Indonesian anthology romance film directed by Kabir Bhatia as a remake of the 2006 film Cinta .  In Jakarta, five couples of varying ages and backgrounds experience the different stages of romantic love, from its giddy start to its painful end.",3.1798,/nLus3Lg9j43zIFzv0QjUyrSloE5.jpg,2008-02-14,Love,False,4.667,6
False,,[18],488659,en,Love,"A unique anthology of six short vignettes on the subject of love, all of them written, directed and produced by women.",2.5598,/9Rl69IGFFroA5Bs3raSR7N8nqI4.jpg,1982-07-01,Love,False,4.542,12
False,/dSmuYT1e49kjLxI6URq7mIU6OXa.jpg,"[28, 10749]",161401,hi,Love,"A man meets and falls in love with a beautiful woman. However, due to his violent background, her parents are against the relationship. After the couple shows no signs of breaking up, her mother has the man arrested.",3.1618,/aRbBltP71wvWA1C5Mk2iI9KZmI3.jpg,1991-11-15,Love,False,6.1,19
False,/goFSlYh4s6pPIQp6hBGnTF9Vnyc.jpg,[18],567355,en,LOVE,"In the communal area of a block of temporary accommodation, the residents go about their day-to-day routines in the run-up to Christmas. The bonds of love that keep people together are put to the test.",2.6848,/A68x3ZitVxyLb5CRdrnmwy7QjEV.jpg,2018-12-08,LOVE,False,5.4,8
False,/vkDI2fWbhyr0r45bWofLGVudUTv.jpg,[18],651085,en,Love,"A young woman, Natalie Storm works in a sweatshop and struggles to support her mother and little sister, Beatrice. Their mother dies and Beatrice suffers from poverty.  Because of her circumstances, Natalie rejects the marriage proposal of Tom Chandler, a self-educated mining engineer. He then leaves for South America, where he intends to make his fortune. To save her sister and herself, Natalie becomes the mistress of a wealthy Wall Street magnate, Alvin Dunning. When he publicly humiliates her, however, she becomes determined to free herself.  Meanwhile, Chandler discovers a copper mine in South America and returns. He is invited to a party at Dunning's home. When he meets Natalie as Dunning's mistress he is heartbroken and abruptly leaves. Natalie is by now desperate to get away from Dunning. She then acquires enough money from a lucky stock tip to leave him.",2.5616,/3nmBapTu3rS860oy89DyyJz2aW5.jpg,1920-12-05,Love,False,3.0,2
False,/406rGH8i1p23Q764w8vxPXRAt7U.jpg,[35],174964,en,Love,"""Fatty"", a poor good hearted farm boy is deeply in love with Winifred, a farmer's daughter. A rich neighbor offers the farmer a large plot of land if Winifred marries his slow witted son Al. ""Fatty"" has less then one day to save heartbroken Winifred from the rushed ceremony.",1.9824,/3QEdh6HqE0cDSNIuBPwJYLnx6TK.jpg,1919-03-01,Love,False,5.6,7
False,,[99],307231,en,Love,"Beth Moore-Love is perhaps the greatest living artist working in America today. Her works can be found in private collections throughout the United States and Europe. She is a national treasure and yet, she is virtually unknown. Filmmaker Larry Wessel is determined to change that with his nine year labor of love.",2.0389,/oJA16BPmYxPopaR1DKrEb8xoHQV.jpg,2014-12-01,Love,False,6.5,6
False,/GUu6phc1o9wdjcBrPxT30B5hAZ.jpg,"[18, 10749]",100586,sv,Love,"Love and Sebastian meet each other by a coincidence at a street in the romantic Swedish summer night. They happen to share the same secret, but their encounter is going to cause severe consequences for the both of them. An innocent flirt soon turns in to a dangerously liaison.",2.7951,/pgnVgwrb4sSGhJGDnag3HgmUUTc.jpg,2008-03-08,My Name Is Love,False,5.083,36
